נתוני מסחר - ניירות ערך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נכון ל- 04/09/2026
שם,סימול ,מס' ני''ע,סוג ני''ע,שער אחרון (באגורות),שינוי (%),מחזור (באלפי ש''ח) ,זמן עסקה אחרונה,שער בסיס,שער פתיחה,גבוה,נמוך,שינוי באגורות,מחזור עסקאות בלוק,זמן עסקת בלוק אחרונה,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),מספר עסקאות,מחזור ביחידות , שווי שוק (אלפי ש''ח),כמות מזערית לשלב הרציף,כמות מזערית עבור פקודות בלוק,סוג האקס,מקדם אקס,הון רשום למסחר,בורסת חו"ל,מועד אחרון ברשימה הראשית,תאריך השעייה,הצמדה,ריבית,מועד פדיון,מניית המרה,מניית המרה - מס' ני"ע,מניית המרה - ISIN,כמות אג"ח למניה אחת,שער מנית המרה,מועד המרה סופי,מדד/מט"ח יסודי,תאריך מדד/מט"ח יסודי,מחיר מימוש בסיסי (באגורות/מטבע),מחיר מימוש נוכחי (באגורות),סוג הצמדת תוספת מימוש,מועד מימוש אחרון,מס' מניות המתקבל מ-1 אופציה,מניית מימוש,שער מניית מימוש,תשואה שנתית לפדיון,מס' ימים לפדיון,ISIN,מספר מנפיק,מחזור מסחר חציוני 180 ימים,מחזור מסחר חציוני 30 ימים,אינדיקצייה לקיום עושה שוק
אאורה,אארה,373019, מניות,1970.00,0.87,3592.09,סוף יום,1953.00,1953.00,1986.00,1941.00,17.00,,סוף יום,10.1,-2.7,1000,182530,5597043,28,56000,,,284113862,,,,,,,,,,,,,,,,,,,,,,,,IL0003730194,373
אאורה    אגח טז,אארה.ק16,3730579,איגרות חוב,101.17,-0.01,10.06,סוף יום,101.18,101.18,101.17,101.17,-0.01,,סוף יום,0.2,3.6,2,9945,84477,5000,990000,,,83500000,,,,לא צמוד,3.50000,30/09/2027,,,,,,,,,,,,,,,,,,IL0037305799,373,39596.35500,21564.04000,לא
אאורה אגח יז,אארה.ק17,1193580,איגרות חוב,113.00,0.09,29.88,סוף יום,112.90,112.90,113.00,112.90,0.10,,סוף יום,0.3,4.2,66,26439,271200,4400,1780000,,,240000000,,,,מדד המחירים לצרכן,3.85000,31/01/2029,,,,,,,102.30,15/02/2023,,,,,,,,,,IL0011935801,373,244696.59000,273486.92000,לא
אאורה אגח יח,אארה.ק18,1203405,איגרות חוב,104.59,0.09,45.97,סוף יום,104.50,104.50,104.61,104.50,0.09,,סוף יום,0.2,3.8,72,43955,282393,4800,1920000,,,270000000,,,,לא צמוד,6.15000,31/12/2029,,,,,,,,,,,,,,,,,,IL0012034059,373,361038.02000,209309.94000,לא
אאורה אגח יט,אארה.ק19,1223296,איגרות חוב,104.54,0.08,69.76,סוף יום,104.46,104.46,104.62,104.46,0.08,,סוף יום,0.2,3.8,73,66733,522700,4800,1920000,,,500000000,,,,לא צמוד,5.80000,30/08/2032,,,,,,,,,,,,,,,,,,IL0012232968,373,1077661.72500,805658.48000,לא
אב-גד,אבגד,1171818, מניות,1360.00,-0.51,91.89,סוף יום,1367.00,1367.00,1418.00,1349.00,-7.00,,סוף יום,5.1,-17.3,64,6736,280755,39,77000,,,20643725,,,,,,,,,,,,,,,,,,,,,,,,IL0011718181,1829
אב-גד     אגח ב,אבגד.ק2,1196542,איגרות חוב,104.30,0.00,0.00,סוף יום,104.30,104.30,0.00,0.00,0.00,,סוף יום,1.3,7.1,0,0,19269,4900,920000,,,18475058,,,,לא צמוד,9.50000,30/06/2027,,,,,,,,,,,,,,,,,,IL0011965428,1829,3420.46000,1847.93500,לא
אב-גד     אגח ג,אבגד.ק3,1211770,איגרות חוב,101.64,0.00,0.00,סוף יום,101.64,101.64,0.00,0.00,0.00,,סוף יום,0.4,3.5,0,0,106538,4900,990000,,,104819000,,,,לא צמוד,7.20000,31/12/2028,,,,,,,,,,,,,,,,,,IL0012117706,1829,2192.60000,10975.50000,לא
אב-גד     אגח ד,אבגד.ק4,1225929,איגרות חוב,98.11,0.00,0.00,סוף יום,98.11,98.11,0.00,0.00,0.00,,סוף יום,2.5,6.6,0,0,90960,5200,1050000,,,92712000,,,,לא צמוד,6.80000,30/06/2030,,,,,,,,,,,,,,,,,,IL0012259292,1829,38934.57000,45668.14000,לא
אב-גד     אופ 2,אבגד.א2,1225937, כתבי אופציה ,170.60,0.00,0.00,סוף יום,170.60,170.60,0.00,0.00,0.00,,סוף יום,-0.2,-27.9,0,0,633,39,19000,,,370848,,,,,,,,,,,,,,,2500.0000000 ,2500.0000000,לא צמוד,02/08/2028,1.0000000,אב-גד,1360.00,,,IL0012259375,1829
